VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesPurchaseRatio
1392,"CONSTELLATION BRANDS INC",44208,"Black Box Pnt Grigio",10.95,16.99,3000,18622,203910.9,18429,333084.71,161168.69,8293.05,79528.99,129173.81,38.781,0.99,1.633
7245,"PROXIMO SPIRITS INC.",8473,"1800 Silver Tequila",24.44,41.99,1750,8333,203658.52,8205,306667.95,200539.13,15080.04,38994.78,103009.43,33.59,0.985,1.506
3252,"E & J GALLO WINERY",19848,"Carnivor Cab Svgn",5.33,9.99,750,38169,203440.77,35495,335379.21,98377.78,3974.3,61966.91,131938.44,39.34,0.93,1.649
8004,"SAZERAC CO INC",5101,"Dr McGillicuddy's Mentholmnt",10.39,13.99,750,19547,203093.33,18265,258455.35,128510.37,14385.03,50293.62,55362.02,21.42,0.934,1.273
8673,"STE MICHELLE WINE ESTATES",8838,"Ch Ste Michelle Cab Svgn Col",7.71,12.99,750,26317,202904.07,25737,344457.47,120603.89,2878.1,15919.7,141553.4,41.095,0.978,1.698
480,"BACARDI USA INC",4226,"Bacardi Superior Rum Trav",7.68,13.99,750,26107,200501.76,25990,300152.1,156776.33,20464.31,89286.27,99650.34,33.2,0.996,1.497
3664,"WILLIAM GRANT & SONS INC",2517,"Balvenie 14 Yr Caribean Cask",46.42,68.99,750,4316,200348.72,4263,299856.37,216487.3,3360.3,30234.42,99507.65,33.185,0.988,1.497
2000,"SOUTHERN WINE & SPIRITS NE",26948,"Ferrari-Carano Chard",11.53,18.99,750,17364,200206.92,15055,295359.45,91524.68,1684.8,19016.59,95152.53,32.216,0.867,1.475
3960,"DIAGEO NORTH AMERICA INC",4265,"Capt Morgan Spiced Rum",8.26,10.99,375,24219,200048.94,24042,264221.58,145342.75,9442.78,257032.07,64172.64,24.287,0.993,1.321
1128,"BROWN-FORMAN CORP",8288,"Korbel Brut",7.94,11.99,750,25153,199714.82,24819,317622.81,100515.05,2777.41,68601.68,117907.99,37.122,0.987,1.59
3960,"DIAGEO NORTH AMERICA INC",1003,"Crown Royal +2 Reusable Cups",16.66,25.99,750,11973,199470.18,9310,214036.9,62120.98,7330.04,257032.07,14566.72,6.806,0.778,1.073
3960,"DIAGEO NORTH AMERICA INC",822,Tanqueray,19.99,26.99,1000,9976,199420.24,9900,267201,143883.69,10395,257032.07,67780.76,25.367,0.992,1.34
3960,"DIAGEO NORTH AMERICA INC",305,"Crown Royal Canadian Whisky",22.21,27.99,1000,8946,198690.66,8826,247039.74,139698.09,9267.3,257032.07,48349.08,19.571,0.987,1.243
10000,"MAJESTIC FINE WINES",6575,"Kendall Jackson RSV Svgn Bl",5.84,9.99,750,33825,197538,31723,314527.77,91508.11,3552.37,17587.59,116989.77,37.195,0.938,1.592
480,"BACARDI USA INC",4223,"Bacardi Gold Rum",14.92,19.99,1750,13236,197481.12,13505,288560.95,168313.87,24818.01,89286.27,91079.83,31.563,1.02,1.461
1590,"DIAGEO CHATEAU ESTATE WINES",32906,"Sterling Vintners Cab Svgn C",6.42,9.95,750,30724,197248.08,30852,329861.74,98076.99,3455,7259.75,132613.66,40.203,1.004,1.672
11567,"CAMPARI AMERICA",8258,Campari,21.05,27.99,750,9347,196754.35,9285,278457.15,163505.48,7314.69,20964.81,81702.8,29.341,0.993,1.415
8664,"STOLI GROUP,(USA) LLC",3694,"Stolichnaya Razberi",13.48,16.99,750,14577,196497.96,14539,265312.61,145786.31,11450.12,18544.49,68814.65,25.937,0.997,1.35
11567,"CAMPARI AMERICA",3834,"Skyy Vodka",10.23,12.99,750,19183,196242.09,19245,253062.55,143069,15156.72,20964.81,56820.46,22.453,1.003,1.29
3960,"DIAGEO NORTH AMERICA INC",4478,"Myers Original Dark Rum",13.53,17.99,750,14485,195982.05,14711,264650.89,154624.05,11587.62,257032.07,68668.84,25.947,1.016,1.35
8673,"STE MICHELLE WINE ESTATES",35464,"Stags Leap Artemis Cab Svgn",28.44,45.99,750,6878,195610.32,6091,306724.45,151379.35,678.34,15919.7,111114.13,36.226,0.886,1.568
12546,"JIM BEAM BRANDS COMPANY",8451,"Cruzan Aged Dark Rum",12.59,16.99,1750,15519,195384.21,15472,269353.28,158243.17,28432.46,123880.97,73969.07,27.462,0.997,1.379
